STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
17,Illinois,B340,3,1996-08-01,3,Lane-Shoulder Longitudinal Joint Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2004-12-31,,,E,E,E,E,E,ACUB,
31,Nebraska,6701,3,2001-06-01,54,Partial depth patching of PCC pavements at joints,E,G,General Pavement Studies,9,Unbonded PCC Overlay of PCC Pavement,Out-of-study,O,1988-08-01,2005-12-31,,,E,E,E,E,E,PCPCC,
17,Illinois,0605,7,1999-11-04,4,Full Depth Transverse Joint Repair Patch,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,,E,E,E,E,E,JRCP,
17,Illinois,0659,4,1997-10-14,3,Lane-Shoulder Longitudinal Joint Sealing,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0606,5,1992-04-01,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0606,6,1995-08-01,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0607,4,1994-05-01,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0608,4,1997-10-14,1,Crack Sealing,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,,E,E,E,E,E,ACPCC,
17,Illinois,0659,5,1998-08-14,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0659,6,2001-07-12,24,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0660,4,1997-10-14,1,Crack Sealing,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,S,E,E,E,E,E,JRCP,
17,Illinois,0661,4,1999-09-27,6,Partial Depth Patching of PCC Pavement Other Than at Joint,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2001-06-01,,S,E,E,E,E,E,JRCP,
17,Illinois,0662,4,1990-06-01,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0662,5,1997-10-14,1,Crack Sealing,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0662,6,1998-09-08,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0663,3,1990-06-01,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
17,Illinois,0664,3,1990-06-01,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,2010-06-01,,S,E,E,E,E,E,ACPCC,
