SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH
0101,35,2001-05-04,0.9368000029999999,0.7570000053999999
0101,35,2003-01-09,1.160800004,1.0018000004
0101,35,2004-06-09,1.2492000102,1.0583999872
0101,35,2005-03-11,1.5570000172,1.3424000264
0101,35,2006-04-24,1.7570000172,1.4420000074000001
0101,39,1996-08-14,1.4636000156000002,1.3522000074
0101,39,1996-12-27,3.5961999894,4.5843999862
0102,1,1994-08-25,0.9269999982,0.9668000102000001
0102,1,1995-10-30,0.8831999897999999,0.911800003
0102,1,1996-01-10,0.9272000076,0.8796000002
0102,1,1996-04-08,0.9261999846,0.9366000056000001
0102,1,1996-08-12,0.8712000013999999,0.9466000078000001
0102,1,1996-10-10,0.8783999918,0.917200005
0102,1,1997-07-03,0.8962000012000001,0.9055999996
0102,1,1997-10-15,0.9065999864000001,0.9729999901999999
0102,1,1998-01-27,0.9049999952000001,1.0390000104000001
0102,1,1998-04-23,0.916199994,1.038799977
0102,1,1998-08-05,1.0433999776,1.3615999938
0102,1,1998-12-07,0.9614000082,1.2799999952
0102,1,1999-09-28,1.1254000186000002,1.245399976
0102,1,2001-03-14,1.3054000138,1.4404000284
0102,1,2002-03-10,1.564199996,1.8509999754
0102,1,2003-01-29,2.1657999516,2.201000047
0102,1,2004-04-27,2.640199995,3.2962000367999997
0102,1,2005-05-04,2.9627999786,3.234200001
0102,10,1996-02-24,0.7957999946000001,1.007400012
0102,10,1997-06-10,0.7182000040000001,0.781000018
0102,10,1997-09-29,0.7970000027999999,0.9030000092
0102,10,1998-01-21,0.753000009,0.8805999994
0102,10,1998-02-25,0.770599997,0.8447999954000001
0102,10,1998-05-13,0.7782000064,0.8727999927999999
0102,10,1998-07-28,0.809199989,0.9210000038
0102,10,1998-11-05,0.801399994,0.8741999981999999
0102,10,2000-12-06,0.8208000064000001,0.9108000042000001
0102,10,2001-07-12,0.8379999875999999,0.9294000029999999
0102,10,2002-04-26,0.8471999884000001,0.9314000009999999
0102,10,2002-12-07,0.8720000027999999,0.9215999964
0102,10,2003-08-21,0.8870000006,0.9610000016000001
0102,10,2004-11-08,0.9467999938,1.1167999981999999
0102,10,2005-08-17,1.0532000066,1.1140000103999999
0102,10,2006-06-13,1.136800003,1.0822000024
0102,12,1997-01-27,0.6578000068,0.8678000096
0102,12,1997-09-15,0.6485999942,0.8685999988
0102,12,1998-02-05,0.6231999871999999,0.8748000024
0102,12,1998-12-11,0.6525999903999999,0.8485999942
0102,12,2000-09-11,0.6684000014,0.8607999919999999
0102,12,2001-07-27,0.6658000114,0.8548000099999999
0102,12,2002-10-28,0.6863999961999999,0.8690000057999999
0102,12,2003-07-25,0.8483999967999999,0.7950000048
0102,12,2004-04-05,0.696599996,0.9755999922
0102,12,2005-04-26,0.773000002,0.8728000043999999
0102,12,2006-07-26,0.762800014,0.9289999962
0102,12,2008-09-03,0.7987999913999999,1.0398000120000002
0102,12,2009-05-08,0.8249999882000001,0.9472000002
0102,12,2010-02-06,0.8741999981999999,1.0439999938
0102,12,2012-02-24,0.8766000034000001,0.9395999908
0102,19,1993-10-15,0.873600006,0.8874000192
0102,19,1995-02-15,1.1528000116,1.123600006
0102,19,1996-04-16,1.3690000055999998,1.3382000448
0102,19,1997-09-25,1.5021999836,1.7689999818
0102,19,1998-10-13,1.5335999966,2.333599949
0102,19,1999-07-19,1.6272000074000001,2.679600048
0102,19,2000-05-22,1.6861999988,2.950200033
0102,19,2001-05-29,2.614400053,3.0880000114
0102,19,2001-08-06,2.4389999866,2.540199995
0102,19,2002-11-22,2.2918000222,2.6093999862
0102,19,2004-09-22,2.484800005,3.3467999458
0102,20,1994-05-13,1.191599989,1.130400014
0102,20,1995-02-18,1.6645999908,1.3595999958
0102,20,1996-04-23,1.7940000057999999,1.3437999964
0102,32,1997-04-22,0.6551999928,0.7526000024
0102,32,1997-11-18,0.6062000036,0.7083999990000001
0102,32,1998-08-28,0.6851999998,0.786400008
0102,32,1999-10-16,0.8779999970000001,0.962199998
0102,32,2000-06-14,0.8509999990000001,0.9769999979999999
0102,32,2001-06-19,1.2854000092,1.0544000146
0102,32,2002-06-10,1.0457999707999999,0.8527999996
0102,32,2002-07-31,1.0682000398,0.8824000120000001
0102,32,2003-10-13,1.2751999856,1.5308000088
0102,32,2004-04-15,2.1110000134,3.0697999952
0102,35,1997-03-11,0.5740000008,0.768599999
0102,35,2000-05-21,0.8729999897999999,0.8565999985999999
0102,35,2001-05-04,0.9753999950000001,1.0321999908000001
0102,35,2003-01-09,1.2688000442,1.2360000132
0102,35,2004-06-09,1.7411999701999998,1.4631999969999998
0102,35,2005-03-11,1.2447999956,1.5315999986
0102,35,2006-04-24,1.4834000114,1.4623999833999999
0102,39,1996-08-14,1.1536000014,1.3603999852
0102,39,1996-08-29,2.8641999722,3.5477999686000006
0103,1,1996-01-10,0.8088000178,0.7784000040000001
0103,1,1997-07-03,0.7938000082000001,0.7250000002
0103,1,1998-01-27,0.7951999904,0.8007999896
0103,1,1999-09-28,0.8419999958,0.8203999996
0103,1,2001-03-14,0.8400000096,0.8124000074
0103,1,2002-03-10,0.7792000056,0.7702000142000001
0103,1,2003-01-29,0.826999998,0.782000005
0103,1,2004-04-27,0.8297999978,0.7727999926
0103,1,2005-05-04,0.8565999983999999,0.8124000074
0103,10,1997-06-10,0.7608000038,0.735799992
0103,10,1997-09-29,0.7554000022,0.689599991
0103,10,1998-02-25,0.7394000054000001,0.7329999804
0103,10,1998-05-13,0.742999995,0.7133999942
0103,10,1998-07-28,0.7758000016000001,0.717599988
0103,10,1998-11-05,0.767800009,0.7370000003999999
0103,10,2000-12-06,0.8101999998,0.7046000003999999
0103,10,2001-07-12,0.8141999959999999,0.69460001
0103,10,2002-04-26,0.8399999976,0.704799986
0103,10,2002-12-07,0.8019999982,0.7244000076
